id,transduction(lot#1),transduction(lot#2),cytotoxic_activity(lot#1),cytotoxic_activity(lot#2)
CAR_28z,42.00944032,35.3215692,67.45529362,25.65075018
CAR_28z,42.00944032,35.3215692,60.47148571,41.33314466
CAR_28z,43.84419652,27.27429955,67.02849483,31.86834373
CAR_28z,43.84419652,27.27429955,74.27784316,37.79720672
CAR_28z,15.4474311,43.05615396,45.22317321,41.67239268
CAR_28z,15.4474311,43.05615396,20.37255195,41.36020102
CAR_28z,13.12766656,37.08763745,41.57336748,47.51496392
CAR_28z,13.12766656,37.08763745,33.20237835,38.89039634
CAR_28z,26.06240713,15.22420822,52.83740947,21.99730752
CAR_28z,26.06240713,15.22420822,58.47404681,25.44597425
CAR_28z,26.22377622,10.1156515,51.20851282,22.57188863
CAR_28z,26.22377622,10.1156515,51.33240681,19.24265974
CAR_BBz,49.27638546,44.41558442,51.21306261,26.96488166
CAR_BBz,49.27638546,44.41558442,48.74613374,29.19267128
CAR_BBz,49.27638546,44.41558442,57.25000729,24.24846669
CAR_BBz,49.27638546,44.41558442,43.05309058,22.24723967
CAR_BBz,27.32049037,17.88896504,34.73498781,21.58687395
CAR_BBz,27.32049037,17.88896504,31.57556202,18.18339198
CAR_BBz,27.32049037,17.88896504,22.74383069,18.31659613
CAR_BBz,27.32049037,17.88896504,12.44465048,0
CAR_BBz,21.40945584,26.2897392,35.27983657,26.62578783
CAR_BBz,21.40945584,26.2897392,29.12817051,27.22984021
CAR_BBz,21.40945584,26.2897392,25.40832503,15.64430753
CAR_BBz,21.40945584,26.2897392,19.27290131,7.843519659
