plm_size,db_size,epoch,k,n_valid,pearsonr,spearmanr,precision_top5,precision_top10,recall_top5,recall_top10
8,-,-,0,77,0.6212340195178043,0.5146958304853041,0.6,0.5,0.15789473684210525,0.2631578947368421
8,-,-,1,75,0.5172017345765524,0.2859743954480796,0.4,0.2,0.10526315789473684,0.10526315789473684
8,-,-,2,80,0.3771795940656103,0.24099859353023914,0.4,0.3,0.1,0.15
8,-,-,3,72,0.3020606356445316,0.24094797093060652,0.0,0.0,0.0,0.0
8,-,-,4,78,0.42588210270370214,0.2882054654206553,0.2,0.2,0.05,0.1
8,high,35,0,77,0.5248200962136383,0.36058678163941316,0.6,0.3,0.15789473684210525,0.15789473684210525
8,high,35,1,75,0.6005351346717086,0.43766714082503555,0.4,0.4,0.10526315789473684,0.21052631578947367
8,high,35,2,80,0.3809470623025273,0.2798640412564463,0.4,0.3,0.1,0.15
8,high,35,3,72,0.3503325170016156,0.247604347546466,0.2,0.1,0.05555555555555555,0.05555555555555555
8,high,35,4,78,0.517832738713465,0.3695418505545088,0.2,0.5,0.05,0.25
8,low,30,0,77,0.5929330169920313,0.38382669961617333,0.4,0.2,0.10526315789473684,0.10526315789473684
8,low,30,1,75,0.47734454346179034,0.35985775248933144,0.2,0.1,0.05263157894736842,0.05263157894736842
8,low,30,2,80,0.4869418693739371,0.29036568213783404,0.4,0.4,0.1,0.2
8,low,30,3,72,0.33096334676028866,0.2766737410765966,0.2,0.2,0.05555555555555555,0.1111111111111111
8,low,30,4,78,0.4888313612012354,0.33658746316974164,0.2,0.4,0.05,0.2
35,-,-,0,77,0.43842876170006706,0.40814448709185547,0.6,0.3,0.15789473684210525,0.15789473684210525
35,-,-,1,75,0.5990565202928934,0.40930298719772407,0.2,0.3,0.05263157894736842,0.15789473684210525
35,-,-,2,80,0.5004857243584173,0.35586029067041725,0.4,0.5,0.1,0.25
35,-,-,3,72,0.3944069435397505,0.3570647630072674,0.4,0.4,0.1111111111111111,0.2222222222222222
35,-,-,4,78,0.46754579212383085,0.3740436778411461,0.0,0.3,0.0,0.15
35,high,10,0,77,0.5473744983432836,0.45867290604132704,0.6,0.5,0.15789473684210525,0.2631578947368421
35,high,10,1,75,0.5911541692797152,0.4551066856330014,0.2,0.4,0.05263157894736842,0.21052631578947367
35,high,10,2,80,0.529930982187361,0.4625644631973746,1.0,0.7,0.25,0.35
35,high,10,3,72,0.481326556937349,0.4773618882243232,0.4,0.4,0.1111111111111111,0.2222222222222222
35,high,10,4,78,0.5366033935421212,0.4359058662856131,0.4,0.4,0.1,0.2
35,low,5,0,77,0.4189823797241841,0.3613228876386771,0.0,0.1,0.0,0.05263157894736842
35,low,5,1,75,0.5567150651774895,0.37146514935988617,0.2,0.2,0.05263157894736842,0.10526315789473684
35,low,5,2,80,0.5490175369253878,0.45897796530707924,0.6,0.5,0.15,0.25
35,low,5,3,72,0.5030040929665791,0.4691620039873947,0.4,0.4,0.1111111111111111,0.2222222222222222
35,low,5,4,78,0.4872516176207465,0.40345730219147935,0.2,0.4,0.05,0.2
150,-,-,0,77,0.4477275558901431,0.4314895630685104,0.4,0.3,0.10526315789473684,0.15789473684210525
150,-,-,1,75,0.14332972305767552,0.14392603129445236,0.4,0.4,0.10526315789473684,0.21052631578947367
150,-,-,2,80,0.16621339255617876,0.17857477730895455,0.4,0.3,0.1,0.15
150,-,-,3,72,0.5019737872570713,0.4933757797929128,0.4,0.5,0.1111111111111111,0.2777777777777778
150,-,-,4,78,0.3758808858808769,0.25560515433933156,0.4,0.5,0.1,0.25
150,high,40,0,77,0.33579030078664907,0.24830432725169563,0.4,0.3,0.10526315789473684,0.15789473684210525
150,high,40,1,75,0.3505798746229332,0.20401137980085352,0.4,0.2,0.10526315789473684,0.10526315789473684
150,high,40,2,80,0.36129952798421766,0.34463197374589777,0.6,0.3,0.15,0.15
150,high,40,3,72,0.46949024906386666,0.4662679271978906,0.2,0.2,0.05555555555555555,0.1111111111111111
150,high,40,4,78,0.43365163654219,0.34872722214494367,0.0,0.2,0.0,0.1
150,low,5,0,77,0.39418802945683845,0.35304169514695827,0.4,0.3,0.10526315789473684,0.15789473684210525
150,low,5,1,75,0.3243356561514543,0.2640113798008535,0.4,0.4,0.10526315789473684,0.21052631578947367
150,low,5,2,80,0.40524415768040145,0.34803094233473986,0.4,0.5,0.1,0.25
150,low,5,3,72,0.41929020182731885,0.4194803524342402,0.2,0.5,0.05555555555555555,0.2777777777777778
150,low,5,4,78,0.3832493041720491,0.264785847064328,0.2,0.5,0.05,0.25
650,-,-,0,77,0.3337093065910255,0.391476944108523,0.6,0.5,0.15789473684210525,0.2631578947368421
650,-,-,1,75,0.2069207370746937,0.21547652916073967,0.2,0.4,0.05263157894736842,0.21052631578947367
650,-,-,2,80,0.13099724031276624,0.12981715893108298,0.4,0.3,0.1,0.15
650,-,-,3,72,0.2996255299219177,0.2816258280275259,0.2,0.2,0.05555555555555555,0.1111111111111111
650,-,-,4,78,0.3952395353695166,0.3070979653258134,0.0,0.3,0.0,0.15
650,high,5,0,77,0.31439685487567165,0.28077185971922813,0.4,0.3,0.10526315789473684,0.15789473684210525
650,high,5,1,75,0.2929328809769267,0.2749075391180654,0.4,0.3,0.10526315789473684,0.15789473684210525
650,high,5,2,80,0.34227588632983375,0.28520862634786687,0.4,0.4,0.1,0.2
650,high,5,3,72,0.3987232929141052,0.38671297189529885,0.4,0.5,0.1111111111111111,0.2777777777777778
650,high,5,4,78,0.3296723204186589,0.33838313585149027,0.4,0.5,0.1,0.25
650,low,5,0,77,0.3863586985316996,0.3217571901782428,0.4,0.3,0.10526315789473684,0.15789473684210525
650,low,5,1,75,0.2917171980712103,0.2528307254623044,0.0,0.3,0.0,0.15789473684210525
650,low,5,2,80,0.24227924726835645,0.17587904360056258,0.6,0.5,0.15,0.25
650,low,5,3,72,0.4179878813959789,0.3805710978197956,0.2,0.4,0.05555555555555555,0.2222222222222222
650,low,5,4,78,0.2993105921126183,0.3338054350712578,0.4,0.6,0.1,0.3
