pretrained,finetuned_high,finetuned_low
-2.6347353,-0.49958634,-0.5481819
-2.6295981,-0.4462262,-0.4544603
-2.6072392,-0.5335771,-0.55508244
-2.6325457,-0.53243643,-0.5688842
-2.6295817,-0.52925867,-0.574724
-2.6353607,-0.54247016,-0.53575236
-2.6194363,-0.51667696,-0.56781226
-2.6186762,-0.6052792,-0.6580294
-2.6274953,-0.6445193,-0.5850629
-2.6397321,-0.5581103,-0.5347793
-2.608743,-0.5245706,-0.52838826
-2.577533,-0.5254955,-0.58877766
-2.6218376,-0.5544763,-0.59501487
-2.6018438,-0.5498668,-0.5858242
-2.6207473,-0.5060551,-0.5365034
-2.6167748,-0.52536887,-0.5404063
-2.6328568,-0.55816007,-0.6088789
-2.599346,-0.45419234,-0.51314527
-2.6335964,-0.508559,-0.530376
-2.5857515,-0.49348402,-0.51733226
-2.6004412,-0.5805048,-0.5725737
-2.6349237,-0.5109582,-0.548507
-2.6178749,-0.60175264,-0.65735906
-2.6139507,-0.50681573,-0.55853987
-2.627694,-0.6154526,-0.6133642
-2.611225,-0.500321,-0.49491614
-2.6232772,-0.53269446,-0.5819969
-2.6288598,-0.47157183,-0.5635794
-2.58256,-0.48486033,-0.5068984
-2.6302774,-0.5185604,-0.53086644
-2.6523247,-0.512845,-0.60524386
-2.5794134,-0.44152826,-0.45492274
-2.632692,-0.5282486,-0.58035207
-2.6211715,-0.5659321,-0.5793111
-2.6120017,-0.5189727,-0.52694225
-2.5999117,-0.6305538,-0.7046071
-2.6429324,-0.54047763,-0.60329396
-2.6445556,-0.4911666,-0.4925336
-2.6055005,-0.54998773,-0.57473314
-2.593965,-0.54037386,-0.5069054
-2.6153188,-0.44326174,-0.48644397
-2.6073568,-0.548275,-0.571097
-2.6139987,-0.49443635,-0.47576228
-2.6029363,-0.51502573,-0.5560192
-2.6220903,-0.52994823,-0.5429684
-2.6431966,-0.49609396,-0.5234723
-2.61873,-0.48461488,-0.49984342
-2.5744662,-0.5745029,-0.6106551
-2.6521544,-0.46339908,-0.55514777
-2.6256151,-0.5425282,-0.54597694
-2.611044,-0.51765865,-0.560656
-2.6296775,-0.4874505,-0.5091304
-2.6252792,-0.5497285,-0.591362
-2.651289,-0.53022593,-0.59217155
-2.646667,-0.5707273,-0.58026785
-2.6135159,-0.5602458,-0.5973867
-2.662879,-0.56193656,-0.5429996
-2.643076,-0.5321894,-0.5834171
-2.642464,-0.59263396,-0.61281556
-2.6436248,-0.5838832,-0.614232
-2.620276,-0.49669662,-0.5234828
-2.645662,-0.55766857,-0.56827474
-2.6164927,-0.5690482,-0.5818809
-2.5939386,-0.5716872,-0.5674458
-2.6106513,-0.53299534,-0.54463506
-2.6144216,-0.57106125,-0.58746606
-2.6447537,-0.5664137,-0.6002272
-2.6298013,-0.50757337,-0.58416593
-2.6181011,-0.6281166,-0.6224527
-2.6327503,-0.5232863,-0.598895
-2.602129,-0.5490673,-0.6306914
-2.596735,-0.51017773,-0.599227
-2.6466777,-0.6652675,-0.6067097
-2.5937839,-0.5632827,-0.6073464
-2.616774,-0.5243732,-0.56211704
-2.60064,-0.5209884,-0.57730794
-2.6242878,-0.5847443,-0.6097174
-2.6304772,-0.51676863,-0.5408086
-2.6056964,-0.5496122,-0.6159275
-2.635583,-0.4996701,-0.57893765
-2.635584,-0.54263234,-0.57041544
-2.6278477,-0.54437417,-0.56487006
-2.6301558,-0.5914128,-0.58961797
-2.623867,-0.4452411,-0.4936352
-2.6186304,-0.50440735,-0.551151
-2.6352406,-0.49911097,-0.51919425
-2.6025984,-0.47141668,-0.51611793
-2.6197155,-0.51298696,-0.6052508
-2.5990024,-0.52561235,-0.52227914
-2.609507,-0.5104403,-0.5729701
-2.6671336,-0.57743925,-0.66380936
-2.6219332,-0.48717675,-0.5629325
-2.6227994,-0.5338401,-0.57507753
-2.6456654,-0.5093351,-0.5508331
-2.638067,-0.48905927,-0.54845333
-2.6060758,-0.5955155,-0.59077764
-2.5933802,-0.5525213,-0.5998937
-2.6441495,-0.5418402,-0.58809775
-2.6680012,-0.578441,-0.60225
-2.6171896,-0.5438401,-0.6107993
-2.6447132,-0.59068817,-0.6343304
-2.6270216,-0.53288543,-0.5567653
-2.6415603,-0.5123733,-0.57139957
-2.6221685,-0.57511824,-0.6421288
-2.6143532,-0.5173208,-0.56160325
-2.614719,-0.46517506,-0.48173466
-2.620904,-0.46911994,-0.4892304
-2.611152,-0.5874403,-0.5756558
-2.6170027,-0.583004,-0.6223478
-2.6265447,-0.5449644,-0.5405695
-2.6577418,-0.53968775,-0.56315607
-2.607152,-0.6458304,-0.68678427
-2.6255782,-0.5417819,-0.57935953
-2.631756,-0.54942304,-0.5462257
-2.624719,-0.56704086,-0.63045084
-2.6194558,-0.45388356,-0.4628999
-2.5990093,-0.5593626,-0.61272186
-2.578937,-0.5469839,-0.5868463
-2.6160443,-0.5651486,-0.56565315
-2.6710775,-0.5487949,-0.57195145
-2.6468506,-0.5186331,-0.5402507
-2.6205966,-0.50230956,-0.53956753
-2.6192605,-0.5575143,-0.5179964
-2.6100938,-0.4957774,-0.5170573
-2.669994,-0.5519247,-0.5738576
-2.6331081,-0.49927524,-0.54482776
-2.6446097,-0.564725,-0.6102612
-2.6225343,-0.46313265,-0.522973
-2.6526723,-0.5176123,-0.6124731
-2.603361,-0.5501435,-0.58206123
-2.651245,-0.5002787,-0.5535063
-2.625161,-0.5246069,-0.5436125
-2.644573,-0.5848003,-0.65715635
-2.6663837,-0.54533786,-0.5618601
-2.6241615,-0.4961769,-0.5464436
-2.6143613,-0.5498389,-0.60241264
-2.6279447,-0.5473873,-0.54240364
-2.6043131,-0.48403203,-0.51499116
-2.608278,-0.52185047,-0.5302073
-2.6317344,-0.59394014,-0.65766174
-2.6288395,-0.54532427,-0.59321225
-2.6653497,-0.65033215,-0.6705841
-2.609129,-0.539129,-0.5706853
-2.6401074,-0.522193,-0.523035
-2.614975,-0.5093501,-0.57797194
-2.585695,-0.5210024,-0.5740638
-2.6273038,-0.6269494,-0.6005355
-2.6433423,-0.5106261,-0.534134
-2.6189044,-0.56171197,-0.597451
-2.6089485,-0.47940388,-0.51122695
-2.5989552,-0.57416755,-0.5669335
-2.6299083,-0.4994621,-0.5549594
-2.5947142,-0.4507343,-0.4879888
-2.643193,-0.5567634,-0.5972752
-2.6086404,-0.48700547,-0.5457594
-2.6006134,-0.4575372,-0.4651456
-2.6231296,-0.4845237,-0.5324796
-2.6321926,-0.55072314,-0.5700687
-2.6165617,-0.48964635,-0.55411404
-2.6211631,-0.53711903,-0.55610776
-2.6186857,-0.61254764,-0.66001135
-2.6146119,-0.4998185,-0.5356044
-2.6036832,-0.56998193,-0.61772496
-2.639125,-0.59312785,-0.63726985
-2.6503408,-0.5199135,-0.57607317
-2.6313345,-0.5793664,-0.6147388
-2.6420505,-0.5056619,-0.53086364
-2.6248388,-0.59124714,-0.5873395
-2.615594,-0.51623076,-0.58814603
-2.661704,-0.5027351,-0.52005416
-2.6413422,-0.5916333,-0.5571877
-2.6031382,-0.4911343,-0.5445358
-2.5911095,-0.6525149,-0.7070576
-2.6536682,-0.50730544,-0.5737669
-2.634093,-0.57578325,-0.59083265
-2.6518788,-0.509198,-0.5065999
-2.5924125,-0.49810603,-0.5632833
-2.648239,-0.53322345,-0.5722563
-2.6249022,-0.52473897,-0.5517356
-2.6466258,-0.4693851,-0.5422726
-2.6390548,-0.5811296,-0.5912825
-2.6045537,-0.48799458,-0.4932291
-2.641268,-0.5078732,-0.5390651
-2.6066728,-0.46054593,-0.44683075
-2.646632,-0.5171391,-0.5623571
